shipType,shipDurationType,level,targetArtifact,Adequate quantum metronome,Ancient puzzle cube,Aurelian brooch,Basic lunar totem,Beak of Midas,Beggspoke Demeters necklace,Blazing phoenix feather,Book of Basan,Brilliant dilithium stone,Brilliant light of Eggendil,Brilliant phoenix feather,Brilliant tachyon stone,Brilliant tungsten ankh,Carved rainstick,Clairvoyant interstellar compass,Clarity stone,Collectors book of Basan,Complex ship in a bottle,Crude tungsten ankh,Detailed ship in a bottle,Dilithium monocle,Dilithium stone,Dim light of Eggendil,Distegguished gusset,Dull beak of Midas,Eggceptional Aurelian brooch,Eggceptional chalice,Eggceptional clarity stone,Eggceptional life stone,Eggceptional lunar totem,Eggceptional neodymium medallion,Eggceptional tachyon deflector,Eggceptional terra stone,Eggquisite ship in a bottle,Eggsacting dilithium monocle,Eggsquisite clarity stone,Eggsquisite dilithium stone,Eggsquisite lunar stone,Eggsquisite prophecy stone,Eggsquisite shell stone,Eggsquisite soul stone,Eggsquisite tachyon stone,Enriched gold meteorite,Flawless dilithium monocle,Flawless shell stone,Fortified book of Basan,Gilded book of Basan,Glimmering Tau Ceti geode,Glistening beak of Midas,Glowing light of Eggendil,Good life stone,Hermetic vial of Martian dust,Inconsistent titanium actuator,Interstellar compass,Jeweled Aurelian brooch,Jeweled Demeters necklace,Jeweled beak of Midas,Jeweled chalice,Jeweled gusset,Life stone,Lunar stone,Lunar totem,Meggnificent Mercury's lens,Meggnificent carved rainstick,Meggnificent lunar stone,Meggnificent quantum stone,Mercury's lens,Misaligned Mercury's lens,Misaligned quantum metronome,Miscalibrated interstellar compass,Mystical puzzle cube,Neodymium medallion,Ornate carved rainstick,Ornate gusset,Perfect quantum metronome,Phased quantum stone,Phoenix feather,Plain Aurelian brooch,Plain chalice,Plain gusset,Polished chalice,Polished tungsten ankh,Powerful lunar totem,Precise Mercury's lens,Precise dilithium monocle,Precise interstellar compass,Precise neodymium medallion,Precise titanium actuator,Prime vial of Martian dust,Pristine Demeters necklace,Prophecy stone,Puzzle cube,Quantum stone,Radiant Tau Ceti geode,Radiant prophecy stone,Radiant soul stone,Reggference quantum metronome,Reggference titanium actuator,Rich terra stone,Robust tachyon deflector,Shell stone,Shimmering light of Eggendil,Ship in a bottle,Simple Demeters necklace,Simple carved rainstick,Solar titanium bar,Solar titanium geogon,Solar titanium ore,Solid gold meteorite,Soul stone,Tachyon deflector,Tachyon stone,Tattered phoenix feather,Tau Ceti geode piece,Terra stone,Tiny gold meteorite,Tiny vial of Martian dust,Titanium actuator,Tungsten ankh,Unsolvable puzzle cube,Vial of Martian dust,Weak neodymium medallion,Weak tachyon deflector
ATREGGIES,EPIC,0,LUNAR_TOTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,TACHYON_STONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,BOOK_OF_BASAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,PHOENIX_FEATHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,TUNGSTEN_ANKH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,GOLD_METEORITE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,TAU_CETI_GEODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,TACHYON_STONE_FRAGMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATREGGIES,EPIC,0,AURELIAN_BROOCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
